No. de cuenta / control,Año de nacimiento,Grado que cursas actualmente:,¿Cuál es el ingreso familiar mensual?,¿Cuál es el ingreso personal mensual?,"Pensando en el jefe o jefa del hogar , ¿cuál fue el último grado de estudios que aprobó en la escuela?",Ocupación actual del padre,Ocupación actual de la madre,"¿Cuántos automóviles, camionetas cerradas, vans o pick-ups tiene este hogar?",Seleccione los servicios y bienes con los que cuenta en su casa,"Sin tomar en cuenta la conexión móvil desde algún celular, ¿su hogar cuenta con internet?",¿Cuántos cuartos tiene su casa que se utilizan para dormir?,"¿Cuántas personas viven en su casa, incluido usted?",¿Cuántos baños completos tiene esta vivienda con excusado/WC y regadera?,¿Cuántas personas de 14 años o más trabajan actualmente o trabajaron el mes pasado?,"A la semana, ¿qué tanto consume los siguientes alimentos? [Carne]","A la semana, ¿qué tanto consume los siguientes alimentos? [Huevos]","A la semana, ¿qué tanto consume los siguientes alimentos? [Leche]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frutas y verduras]","A la semana, ¿qué tanto consume los siguientes alimentos? [Frijoles/arroz/lentejas]","A la semana, ¿qué tanto consume los siguientes alimentos? [Pan]","A la semana, ¿qué tanto consume los siguientes alimentos? [Cereales]",origen_registro,nivel_socioeconomico_amai,valor_amai_normalizado
,2009,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Computadora,Si,4,5,2,1,6–10 porciones,6–10 porciones,1–2 porciones,Nunca,Más de 10,3–5 porciones,Nunca,real,C+,0.583333
,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora,Si,4,4,1,2,3–5 porciones,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,3–5 porciones,Nunca,real,A/B,0.736667
,2008,Preparatoria/Bachillerato.,"Más de $20,000",No tengo ingresos,Licenciatura incompleta,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,4,3,1,1,3–5 porciones,3–5 porciones,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,real,C+,0.606667
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Profesionista,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Videograbadora; Calculadora; Computadora; Diccionario o enciclopedia,Si,5,6,1,3,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,Más de 10,1–2 porciones,real,C+,0.58
,2009,No estoy estudiando actuamente.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Trabajo informal/obrero,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,No,3,5,2,3,1–2 porciones,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,real,C,0.553333
,2009,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Secundaria completa,Comerciante,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Reproductor DVD; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,4,1,2,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,6–10 porciones,6–10 porciones,real,C,0.476667
,2009,Universidad.,"$5,001–10,000",No tengo ingresos,Primaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora,Si,3,5,1,2,1–2 porciones,3–5 porciones,6–10 porciones,1–2 porciones,Más de 10,3–5 porciones,Más de 10,real,C-,0.406667
,2009,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Comerciante,Desempleada,1,Drenaje; Agua entubada; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora,Si,3,4,1,2,1–2 porciones,6–10 porciones,3–5 porciones,1–2 porciones,Más de 10,1–2 porciones,1–2 porciones,real,C,0.533333
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Reproductor DVD; Computadora,Si,2,3,1,2,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,Más de 10,6–10 porciones,6–10 porciones,real,C-,0.42
,2010,Secundaria.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Computadora,Si,2,4,1,2,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,real,C-,0.403333
,2010,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura completa,Empleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Computadora,Si,2,2,1,1,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,real,C+,0.63
,2009,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Trabajo informal/obrera,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia; Suscripción a revista o periódico,No,3,4,1,2,6–10 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,real,C-,0.466667
,2009,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Sin instrucción,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,4,1,4,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,Más de 10,real,C,0.47
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura incompleta,Comerciante,Profesionista,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,6,2,1,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,real,C,0.513333
,2008,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Carrera técnica,Empleado,Profesionista,2,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora; Computadora,Si,4,3,2,2,3–5 porciones,1–2 porciones,1–2 porciones,6–10 porciones,Más de 10,1–2 porciones,Nunca,real,A/B,0.693333
,2009,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Carrera técnica,Desempleado,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,4,6,1,2,3–5 porciones,1–2 porciones,3–5 porciones,1–2 porciones,6–10 porciones,6–10 porciones,1–2 porciones,real,C,0.473333
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Videograbadora,Si,2,5,1,1,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,3–5 porciones,real,C-,0.453333
,2009,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Preparatoria completa,Trabajo informal/obrero,Empleada,1,Drenaje; Agua entubada; Calles pavimentadas; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora,Si,1,7,1,2,1–2 porciones,6–10 porciones,6–10 porciones,3–5 porciones,Más de 10,1–2 porciones,3–5 porciones,real,C,0.48
,2008,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Secundaria completa,Comerciante,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular,Si,1,4,1,1,1–2 porciones,1–2 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,1–2 porciones,real,C-,0.396667
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Trabajo informal/obrero,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un lugar exclusivo para estudiar; Teléfono celular; Televisión,Si,2,5,1,2,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,real,C-,0.433333
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión,Si,1,3,1,1,3–5 porciones,1–2 porciones,Nunca,3–5 porciones,3–5 porciones,1–2 porciones,1–2 porciones,real,D,0.303333
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Diccionario o enciclopedia,Si,4,4,1,2,1–2 porciones,1–2 porciones,6–10 porciones,1–2 porciones,Más de 10,1–2 porciones,3–5 porciones,real,C-,0.433333
,2009,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Preparatoria completa,Trabajo informal/obrero,Empleada,0,Drenaje; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Reproductor DVD; Calculadora; Computadora,No,1,4,1,1,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,Nunca,real,D,0.246667
,2010,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Primaria completa,Comerciante,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión,Si,2,5,1,2,1–2 porciones,6–10 porciones,1–2 porciones,6–10 porciones,3–5 porciones,Más de 10,3–5 porciones,real,D+,0.38
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora,Si,1,5,1,2,1–2 porciones,3–5 porciones,Nunca,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,real,D+,0.376667
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Desempleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,3,1,1,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,real,D+,0.35
,2010,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Primaria completa,Comerciante,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,3,1,1,1–2 porciones,6–10 porciones,1–2 porciones,Más de 10,3–5 porciones,3–5 porciones,3–5 porciones,real,D+,0.326667
,2009,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Secundaria completa,Desempleado,Comerciante,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Calculadora; Diccionario o enciclopedia,Si,2,3,1,2,6–10 porciones,1–2 porciones,1–2 porciones,3–5 porciones,Más de 10,3–5 porciones,6–10 porciones,real,C-,0.403333
,2009,No estoy estudiando actuamente.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Profesionista,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,6,1,3,1–2 porciones,6–10 porciones,Más de 10,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,real,C,0.483333
,2008,Preparatoria/Bachillerato.,"$5,001–10,000","$3,001–6,000",Carrera técnica,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,4,1,1,1–2 porciones,1–2 porciones,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,1–2 porciones,real,D+,0.366667
,2009,Secundaria.,"$10,001–20,000","Menos de $3,000",Licenciatura incompleta,Desempleado,Empleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Diccionario o enciclopedia,Si,2,3,1,2,Nunca,3–5 porciones,1–2 porciones,1–2 porciones,3–5 porciones,6–10 porciones,1–2 porciones,real,C+,0.606667
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Primaria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,5,1,2,1–2 porciones,3–5 porciones,3–5 porciones,Nunca,3–5 porciones,3–5 porciones,1–2 porciones,real,D+,0.38
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Trabajo informal/obrero,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Reproductor DVD,Si,1,5,1,2,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,3–5 porciones,3–5 porciones,1–2 porciones,real,C-,0.406667
,2008,Preparatoria/Bachillerato.,"Menos de $5,000","Menos de $3,000",Preparatoria completa,Comerciante,Desempleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia; Suscripción a revista o periódico,No,1,4,1,2,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,Más de 10,3–5 porciones,1–2 porciones,real,C-,0.443333
,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Comerciante,Desempleada,2,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora,Si,2,3,1,1,1–2 porciones,3–5 porciones,Nunca,3–5 porciones,3–5 porciones,6–10 porciones,1–2 porciones,real,C,0.493333
,2009,Secundaria.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Empleado,Trabajo informal/obrera,0,Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Televisión por cable o satélite,Si,2,6,1,2,6–10 porciones,3–5 porciones,1–2 porciones,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,real,C-,0.433333
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Comerciante,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Calentador de gas para agua; Teléfono; Teléfono celular; Televisión; Calculadora; Computadora,No,3,4,1,1,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,real,D,0.3
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Desempleado,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora; Diccionario o enciclopedia,Si,1,3,1,1,3–5 porciones,1–2 porciones,1–2 porciones,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,real,C-,0.396667
,2008,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria incompleta,Trabajo informal/obrero,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,2,5,1,2,3–5 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,1–2 porciones,6–10 porciones,real,C-,0.456667
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Carrera técnica,Trabajo informal/obrero,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia,Si,3,7,1,2,1–2 porciones,3–5 porciones,6–10 porciones,Nunca,1–2 porciones,6–10 porciones,6–10 porciones,real,C,0.52
,2007,Preparatoria/Bachillerato.,"$10,001–20,000","$3,001–6,000",Preparatoria completa,Empleado,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora,Si,2,3,1,2,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,6–10 porciones,6–10 porciones,3–5 porciones,real,C-,0.433333
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Comerciante,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,Si,4,4,1,1,1–2 porciones,3–5 porciones,Nunca,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,real,C-,0.403333
,2010,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Comerciante,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Computadora,Si,3,5,1,1,1–2 porciones,6–10 porciones,Nunca,1–2 porciones,Más de 10,6–10 porciones,Nunca,real,C-,0.45
,2010,Preparatoria/Bachillerato.,"Menos de $5,000",No tengo ingresos,Primaria completa,Trabajo informal/obrero,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono; Teléfono celular; Televisión; Calculadora; Computadora; Suscripción a revista o periódico,Si,2,4,1,1,1–2 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,3–5 porciones,3–5 porciones,real,C-,0.4
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Secundaria completa,Trabajo informal/obrero,Trabajo informal/obrera,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Reproductor DVD; Calculadora; Computadora,Si,2,2,1,2,1–2 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,3–5 porciones,real,C-,0.403333
,2008,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Primaria completa,Trabajo informal/obrero,Desempleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Teléfono celular; Televisión; Calculadora; Computadora,Si,2,5,1,2,1–2 porciones,3–5 porciones,Más de 10,1–2 porciones,6–10 porciones,1–2 porciones,1–2 porciones,real,D+,0.38
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Comerciante,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia,Si,2,5,2,2,6–10 porciones,1–2 porciones,1–2 porciones,6–10 porciones,3–5 porciones,3–5 porciones,1–2 porciones,real,C+,0.583333
,2010,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia,Si,4,4,1,2,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,Más de 10,6–10 porciones,3–5 porciones,real,C,0.486667
,2009,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Secundaria completa,Empleado,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,5,1,3,Más de 10,1–2 porciones,1–2 porciones,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,real,C,0.48
,2009,Preparatoria/Bachillerato.,"$5,001–10,000",No tengo ingresos,Preparatoria completa,Empleado,Desempleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,5,2,3,3–5 porciones,1–2 porciones,6–10 porciones,6–10 porciones,6–10 porciones,6–10 porciones,1–2 porciones,real,C+,0.66
,2008,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Preparatoria completa,Comerciante,Empleada,0,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono; Teléfono celular; Televisión; Calculadora; Computadora; Diccionario o enciclopedia; Suscripción a revista o periódico,Si,3,4,2,2,3–5 porciones,Más de 10,3–5 porciones,1–2 porciones,Más de 10,6–10 porciones,3–5 porciones,real,C,0.536667
,2009,Preparatoria/Bachillerato.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Comerciante,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Calculadora,Si,4,5,1,1,1–2 porciones,6–10 porciones,1–2 porciones,1–2 porciones,3–5 porciones,6–10 porciones,6–10 porciones,real,C,0.506667
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Preparatoria completa,Empleado,Empleada,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Calentador de gas para agua; Un cuarto propio para dormir; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Diccionario o enciclopedia,Si,3,3,2,2,3–5 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,3–5 porciones,6–10 porciones,real,C+,0.61
,2010,Secundaria.,"$10,001–20,000","Menos de $3,000",Preparatoria completa,Trabajo informal/obrero,Comerciante,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Calculadora; Computadora; Diccionario o enciclopedia,Si,3,4,1,3,3–5 porciones,6–10 porciones,1–2 porciones,3–5 porciones,3–5 porciones,Más de 10,6–10 porciones,real,C+,0.583333
,2007,Preparatoria/Bachillerato.,"$5,001–10,000","Menos de $3,000",Licenciatura incompleta,Empleado,Profesionista,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Calculadora; Computadora,Si,3,4,2,4,3–5 porciones,6–10 porciones,1–2 porciones,1–2 porciones,6–10 porciones,Más de 10,1–2 porciones,real,A/B,0.74
,2008,Preparatoria/Bachillerato.,"$10,001–20,000",No tengo ingresos,Licenciatura incompleta,Empleado,Trabajo informal/obrera,1,Drenaje; Agua entubada; Alumbrado público; Calles pavimentadas; Recolección periódica de basura; Calentador de gas para agua; Un cuarto propio para dormir; Un lugar exclusivo para estudiar; Teléfono celular; Televisión; Televisión por cable o satélite; Videograbadora; Calculadora; Diccionario o enciclopedia,Si,4,3,2,2,3–5 porciones,3–5 porciones,3–5 porciones,1–2 porciones,3–5 porciones,3–5 porciones,1–2 porciones,real,C+,0.666667
